#{"t_start": 1701185576.1688473, "env_id": null}
r,l,t
-7.8,12,21.865948
-8.3,13,21.915943
-8.8,11,21.959456
-9.5,10,21.982457
-7.0,12,22.029288
-8.8,15,22.061378
-9.8,5,22.074378
-8.7,16,22.109379
-8.0,9,22.13038
-8.8,15,22.186456
-6.8,12,22.216035
-7.0,14,22.259489
-8.0,14,22.296942
-8.7,14,22.328941
-8.5,13,22.366455
3.0,14,22.397456
-9.8,6,22.411467
-5.0,16,22.448241
-6.0,20,22.490326
-8.0,14,22.522326
-8.0,15,22.57884
-8.6,14,22.619841
-9.3,9,22.644845
-8.0,12,22.673355
-8.7,7,22.690356
-8.7,6,22.706355
-8.0,8,22.726356
-9.8,15,22.761638
-8.8,14,22.794636
-8.7,13,22.823634
-8.0,13,22.853143
-7.0,13,22.901149
-8.7,12,22.928148
-9.8,13,22.959223
-9.8,16,22.997221
-9.8,8,23.017222
-9.8,9,23.039803
-7.8,12,23.065313
-9.8,12,23.111021
-9.5,14,23.141028
-6.8,14,23.170534
-9.8,8,23.188534
-9.8,14,23.219111
-6.8,12,23.246718
-9.5,14,23.276857
-6.8,15,23.307932
-8.8,13,23.336952
-7.0,12,23.362467
-8.8,14,23.391466
-9.8,7,23.409467
-8.0,10,23.431467
-9.8,14,23.461551
-7.0,14,23.492553
-7.7,14,23.5224
-9.8,8,23.540852
-8.0,17,23.576964
-8.7,12,23.602963
-8.0,21,23.668491
-8.7,13,23.716491
-9.5,14,23.769008
-8.0,14,23.824006
-8.8,12,23.869107
-8.8,13,23.917106
-7.0,14,23.96757
-8.8,14,23.99757
-8.8,14,24.028569
-8.8,11,24.052303
-7.0,16,24.08742
-6.0,17,24.122419
-8.8,9,24.143423
-6.0,14,24.172936
-8.8,12,24.199934
-9.8,8,24.218493
-8.7,14,24.26856
2.2,13,24.316475
-7.0,13,24.344485
-8.6,14,24.374546
-8.7,13,24.40254
-8.8,12,24.428537
-7.5,12,24.454543
-8.8,11,24.478661
-8.7,15,24.511337
-7.0,12,24.554386
-7.0,15,24.607391
-9.8,9,24.640395
-8.0,15,24.693421
-5.0,11,24.733427
-6.8,14,24.785884
-7.3,15,24.817885
-8.8,13,24.947456
-8.0,16,25.004516
-7.8,13,25.050523
-7.0,11,25.090569
-8.0,15,25.144886
-7.0,12,25.187395
-9.8,16,25.243234
-7.7,13,25.290506
-8.0,11,25.334078
-8.0,12,25.362608
-8.0,13,25.390609
-7.8,15,25.445613
-5.0,12,25.488676
-9.8,14,25.53968
-8.0,11,25.579412
2.2,12,25.622954
-8.8,17,25.674468
-8.8,17,25.717468
-9.8,13,25.745471
-7.8,14,25.774983
-9.8,14,25.804983
-8.8,11,25.828984
-8.8,12,25.855497
-8.0,14,25.885503
-8.0,7,25.902497
-8.7,17,25.952504
-7.8,14,25.983013
-7.8,15,26.015015
1.0,14,26.045018
-8.7,13,26.073527
-8.8,13,26.100629
-7.0,12,26.127192
-8.0,13,26.154713
-8.8,9,26.175324
-8.6,11,26.19893
-9.8,15,26.230929
-7.0,13,26.259986
-9.8,18,26.29829
-8.8,17,26.335299
-7.0,14,26.366609
-7.6,10,26.387608
-7.0,12,26.416174
-9.8,15,26.460203
-8.7,14,26.512203
-5.8,17,26.571043
-7.0,16,26.605043
-7.0,16,26.640043
2.0,15,26.673558
-8.0,12,26.699567
-5.8,16,26.736559
-7.8,11,26.761075
-7.0,11,26.806072
-8.0,11,26.847076
-9.8,15,26.901588
-8.7,18,26.955594
-8.6,13,26.989035
-4.0,17,27.051036
-5.0,13,27.098086
-7.6,11,27.138316
-8.0,14,27.169389
-7.0,16,27.228391
-8.0,12,27.27466
-8.8,16,27.330798
-9.6,10,27.368443
2.2,11,27.395443
-7.0,11,27.436443
2.2,16,27.469956
-7.0,11,27.493955
-7.0,16,27.549505
2.0,12,27.593014
-8.6,13,27.637769
-7.0,17,27.685826
-6.8,18,27.728825
-9.8,12,27.774338
-7.0,14,27.825338
-7.0,13,27.872854
-8.5,17,27.934854
-9.8,11,27.975367
-9.8,13,28.023366
2.0,12,28.049371
-8.8,15,28.103412
-8.0,13,28.151709
-9.8,11,28.176223
-8.0,11,28.200225
-7.0,14,28.250229
-8.0,12,28.277739
-8.0,13,28.326119
-7.0,12,28.353694
-8.8,16,28.403593
-7.7,13,28.432593
-7.3,13,28.461107
-6.0,15,28.49365
-8.7,16,28.553654
-8.0,17,28.590385
-7.7,13,28.639963
-8.8,13,28.687478
-8.0,12,28.719478
-6.0,14,28.74949
-7.0,20,28.792734
-7.7,13,28.820744
-8.0,17,28.858258
-9.5,14,28.888259
-8.4,13,28.918259
-8.8,15,28.951266
-7.0,12,28.976779
1.0,13,29.02478
-8.0,13,29.072847
-8.0,16,29.108859
-9.5,13,29.149424
-8.7,7,29.169871
-6.6,11,29.194431
-8.5,13,29.242435
-7.8,13,29.289945
-7.8,14,29.342219
3.0,12,29.389041
-7.8,17,29.447176
-8.0,20,29.48933
-8.0,13,29.536325
-9.0,19,29.597943
-8.0,17,29.633942
2.0,19,29.674614
-8.8,12,29.701164
-9.8,5,29.713165
-8.0,13,29.741165
-7.8,13,29.769681
-8.8,19,29.840682
-9.5,14,29.892197
-8.8,10,29.917198
-8.7,15,29.971713
-6.8,11,30.012712
-6.0,17,30.073226
-9.8,14,30.104228
-7.0,12,30.130229
-9.8,12,30.189307
-8.8,15,30.221299
-8.0,11,30.245304
-8.0,14,30.276821
1.2,10,30.314821
-6.8,13,30.364003
-6.5,15,30.417105
-7.8,17,30.47017
-9.5,15,30.522715
-8.7,16,30.580225
-8.0,14,30.630227
-8.0,13,30.676624
-7.0,12,30.719623
-9.8,10,30.756629
-8.0,13,30.807139
-8.0,16,30.862654
-8.0,14,30.912653
-6.7,11,30.936652
-9.6,12,31.063579
-9.8,12,31.107579
-7.0,13,31.138356
-7.8,11,31.162402
-8.8,10,31.184403
-9.8,14,31.236661
-7.0,14,31.287175
-9.0,10,31.327188
-9.5,13,31.378084
-7.8,10,31.41709
-9.8,13,31.464336
-7.0,14,31.515952
3.0,12,31.542953
-6.0,15,31.574467
-7.0,11,31.598468
-8.0,12,31.625471
-8.0,13,31.673552
-7.8,13,31.720766
-8.7,17,31.757334
-7.0,15,31.789845
-8.0,7,31.805845
-9.0,13,31.832845
-8.8,12,31.85885
-8.0,13,31.887365
-6.0,12,31.912365
-7.8,12,31.938365
-7.8,12,31.964877
-8.0,12,32.008877
-8.0,14,32.061338
-8.0,11,32.085337
-8.0,14,32.137338
-8.0,10,32.160858
-9.8,15,32.193093
-8.0,18,32.232094
-9.8,13,32.26161
-5.8,11,32.28661
-7.8,10,32.309611
-6.6,11,32.335611
-7.8,16,32.370833
-8.8,14,32.401833
-8.8,14,32.443011
-8.8,12,32.470076
-7.0,12,32.497085
-9.6,12,32.52522
-8.8,15,32.559227
3.0,11,32.584958
-7.0,13,32.613959
-9.8,14,32.645964
-8.8,10,32.669478
-8.8,15,32.702648
-8.8,13,32.740225
-6.8,13,32.793734
-7.0,10,32.833732
-8.8,15,32.867254
-8.0,13,32.896255
-7.7,12,32.943252
-9.0,11,32.985769
-7.0,17,33.045767
3.0,12,33.093285
-9.0,13,33.142289
-7.8,13,33.170801
-8.6,12,33.217369
-8.0,14,33.248329
-6.0,11,33.288845
-9.0,11,33.329845
-9.6,12,33.374
-7.8,11,33.399956
-8.6,13,33.44753
-7.6,15,33.500826
-6.8,18,33.566883
-8.0,13,33.600883
-7.7,13,33.649888
-8.7,14,33.7004
-9.0,12,33.743972
-9.8,10,33.782298
-7.0,14,33.832834
1.0,11,33.859838
-8.8,13,33.908016
-7.7,14,33.958023
-7.0,12,34.001533
-8.8,14,34.052539
2.0,11,34.080047
-8.7,12,34.106048
-7.8,13,34.155055
4.0,12,34.200564
-9.8,12,34.244821
-8.8,11,34.285893
-7.0,18,34.353901
-8.0,13,34.402955
-9.3,13,34.430955
-8.0,17,34.488189
-8.0,13,34.536735
-7.8,13,34.584995
-9.8,13,34.633562
-8.0,16,34.692075
-9.0,13,34.738847
-8.0,14,34.79094
-8.0,13,34.83894
-7.0,14,34.889456
-9.8,11,34.929457
1.4,10,34.964493
-7.8,11,35.005494
2.0,11,35.046494
-8.0,14,35.086533
2.0,13,35.138533
-9.0,13,35.17105
-6.0,12,35.212051
-9.0,11,35.237611
-8.0,11,35.265303
-7.0,16,35.30687
2.2,12,35.341869
-8.8,12,35.375407
-8.8,11,35.406407
-8.5,13,35.450126
-7.0,11,35.485229
-8.0,13,35.53092
-8.0,13,35.565087
-8.7,9,35.605086
-8.6,14,35.645087
-8.8,11,35.674616
-9.0,13,35.713616
-8.7,15,35.794488
-8.0,16,35.84514
-8.7,15,35.893679
-9.0,12,35.926684
-7.0,11,35.954682
-7.0,11,35.983193
-7.0,12,36.015198
-8.8,17,36.061206
-8.8,13,36.099727
-8.7,15,36.150733
-7.0,14,36.198768
-8.0,12,36.229768
-8.0,11,36.256632
-7.6,11,36.283749
-6.7,17,36.323742
-6.7,12,36.359752
-8.5,13,36.390278
2.0,12,36.419281
-9.5,13,36.449891
-8.0,15,36.484248
-7.0,14,36.515246
-7.7,12,36.542051
2.0,15,36.575109
-9.8,13,36.605129
-8.8,12,36.632129
-5.0,14,36.663188
-7.8,14,36.693195
2.0,10,36.720195
-8.0,7,36.739195
-8.0,14,36.784897
-8.0,14,36.821491
-9.8,12,36.851502
-7.6,11,36.886524
-7.0,12,36.915522
-8.6,11,36.941526
-8.0,11,36.985044
-8.8,15,37.019042
-7.0,15,37.054046
-7.8,11,37.079561
-6.0,10,37.10956
-9.8,16,37.277839
-7.7,14,37.307982
1.0,10,37.332541
-6.0,16,37.376061
-8.6,13,37.42006
-7.6,14,37.454891
-8.0,12,37.493539
-7.6,15,37.525538
-8.8,9,37.568071
-8.0,15,37.626191
-9.8,13,37.669714
-7.8,16,37.703712
2.0,13,37.752716
-8.8,14,37.808793
-8.0,12,37.835528
-8.8,10,37.8726
-6.8,11,37.913609
-8.0,15,37.969125
-8.0,12,37.995123
-7.8,13,38.023139
-8.0,11,38.046137
3.0,12,38.090638
-8.0,13,38.139639
-9.5,12,38.185156
2.0,11,38.226155
1.0,12,38.270088
-6.0,16,38.327704
-7.0,17,38.364212
-8.0,12,38.389218
-7.0,12,38.415223
2.0,15,38.447788
-8.8,12,38.491268
-8.8,12,38.517276
-7.0,14,38.546276
-9.5,15,38.578611
-9.0,12,38.604165
-7.8,14,38.634175
-7.8,12,38.661446
-8.0,12,38.687971
-8.0,11,38.711536
-7.0,12,38.737551
1.4,13,38.76505
-8.4,11,38.790058
-9.8,11,38.813098
-7.0,14,38.852673
-6.8,13,38.881183
-9.8,15,38.914183
-7.8,17,38.950189
2.2,11,38.9737
-8.0,12,38.998701
2.0,11,39.022701
-5.0,17,39.059706
-6.8,13,39.088729
3.0,12,39.114728
-7.0,13,39.142729
-6.8,14,39.172244
-9.6,12,39.198248
-9.0,13,39.226245
0.6,11,39.249245
-7.0,19,39.28932
-7.8,10,39.311318
3.0,11,39.335443
-8.7,15,39.367522
-8.8,10,39.389521
-7.0,12,39.416521
-8.0,16,39.477035
-7.8,16,39.533779
1.2,10,39.555927
-7.8,15,39.610438
-8.8,10,39.647174
1.0,10,39.684227
-8.0,11,39.725227
-8.7,14,39.777374
-9.0,11,39.819374
-9.0,13,39.857925
-7.8,16,39.914229
-8.8,13,39.961785
-7.7,12,40.006294
-6.8,12,40.032294
1.0,10,40.054301
3.0,12,40.080814
-8.0,13,40.108812
3.0,11,40.148813
-9.0,14,40.178329
-7.7,15,40.211329
-7.0,14,40.24233
2.0,17,40.280847
-8.0,11,40.304709
-8.8,10,40.328327
-9.0,10,40.350327
-7.0,14,40.380846
-7.0,10,40.402845
-9.0,10,40.424854
-6.5,12,40.451854
