#{"t_start": 1701292000.2056463, "env_id": null}
r,l,t
-10.99,13,34.120165
-9.85,13,34.187524
-9.38,9,34.240078
-10.94,12,34.308595
-10.98,13,34.374105
-9.8,12,34.436105
-11.0,13,34.517628
-11.01,13,34.559633
-9.31,8,34.588147
-10.94,12,34.628145
-10.98,13,34.670681
-9.86,13,34.713681
-10.97,13,34.755687
-10.95,12,34.8292
-9.34,9,34.859203
-9.75,12,34.897632
-11.13,6,34.918639
-10.14,6,34.94051
-11.56,10,34.973571
-9.8,13,35.016597
-10.75,12,35.055584
-11.96,13,35.09766
-10.77,12,35.1434
-10.88,12,35.21347
-10.95,4,35.227471
-11.69,11,35.263996
-11.34,8,35.310985
-9.36,9,35.3635
-10.96,12,35.425502
-10.95,13,35.468019
-11.57,10,35.500026
-9.26,8,35.526016
-11.26,7,35.550021
-10.77,11,35.58453
-10.79,11,35.62053
-10.93,12,35.658537
-11.17,6,35.679049
-10.43,8,35.707047
-10.95,13,35.748058
-10.96,13,35.792566
-10.33,7,35.817561
-10.59,9,35.849565
-10.96,12,35.908
-10.9,11,35.944411
-10.91,12,35.986051
-10.92,12,36.025053
-10.9,11,36.061558
-10.49,9,36.11544
-10.89,12,36.155006
-11.9,12,36.193855
-11.9,12,36.234423
-11.14,6,36.254428
-10.96,13,36.296946
-10.27,6,36.317944
-10.93,13,36.358951
-11.9,12,36.397466
-11.34,8,36.446464
-11.68,11,36.486984
-10.99,13,36.548999
-9.8,12,36.588498
-11.88,13,36.639498
-10.39,8,36.666012
-10.97,13,36.745013
-9.84,6,36.765536
-10.15,5,36.784529
-10.62,10,36.817529
-11.47,9,40.465951
-10.43,8,40.492952
-10.39,7,40.516951
-10.89,12,40.578467
-10.92,12,40.649485
-10.92,12,40.693994
-11.68,11,40.729994
-11.15,6,40.765286
-9.87,13,40.807301
-10.99,13,40.882806
-11.0,13,40.95981
-9.46,10,41.01567
-10.8,12,41.078477
-11.14,6,41.099051
-10.88,12,41.137611
-10.96,12,41.17564
-10.99,13,41.218073
-10.9,11,41.285154
-10.64,10,41.320156
-10.83,12,41.361161
-11.07,13,41.40267
-11.02,13,41.44367
-10.9,11,41.495185
-10.97,13,41.536186
-10.2,6,41.55619
-10.93,12,41.5947
-10.98,12,41.631701
-10.92,12,41.669219
-10.86,12,41.708217
-9.17,7,41.731218
-10.14,9,41.759222
-10.99,13,41.801738
-10.9,11,41.836733
-10.81,11,41.87126
-11.25,7,41.896248
-10.45,8,41.922256
-10.67,10,41.954254
-11.58,10,42.009613
-10.6,13,42.074724
-11.92,13,42.14029
-10.9,11,42.174312
-11.92,13,42.216437
-10.91,13,42.281686
-9.86,13,42.323234
-10.74,11,42.381746
-10.2,6,42.418747
-10.94,13,42.46075
-9.38,9,42.516262
-11.03,13,42.57079
-10.9,11,42.609789
-10.91,12,42.651801
-11.24,7,42.67631
-11.37,8,42.727311
-9.26,8,42.754316
-10.04,5,42.780829
-10.9,11,42.817829
-10.59,10,42.849831
-10.94,12,42.889365
-10.9,11,42.925366
-9.8,12,42.965882
-10.52,9,42.999879
-10.68,10,43.033816
-10.95,12,43.073953
-11.03,13,43.116521
-9.8,12,43.155526
-10.94,13,43.19815
-10.92,12,43.236996
-10.71,11,43.272094
-9.98,14,43.317092
-10.24,10,43.349092
-11.43,8,43.375611
-11.01,13,43.417621
-9.93,7,43.441612
-9.26,8,43.467125
-10.12,7,43.491127
-11.94,13,43.533125
-9.83,13,43.574641
-10.93,12,43.613642
-10.9,11,43.650648
-9.55,10,43.683162
-9.83,6,43.704159
-10.93,13,43.74516
-10.67,11,43.781676
-11.36,8,43.808677
-10.92,12,43.847675
-10.99,13,43.889191
-9.36,9,43.919189
-10.28,7,43.943192
-10.9,11,43.978706
-11.67,11,44.013707
-11.64,10,44.046538
-9.05,6,44.066066
-10.62,10,44.099196
-9.49,10,44.132197
-10.94,13,44.173807
-11.92,13,44.239455
-10.55,9,44.269972
-11.03,13,44.312664
-9.41,9,44.365747
-10.92,12,44.438756
-9.86,13,44.521275
-10.24,7,44.544272
-10.74,11,44.579787
-11.14,6,44.600786
-10.71,11,44.659793
-10.9,11,44.695305
-10.65,10,44.728304
-9.83,6,44.749305
-10.93,12,44.787822
-10.9,11,44.823821
-10.68,10,44.856828
-10.88,12,44.895342
-11.93,13,44.936342
-11.29,7,44.961348
-10.92,12,44.998858
-11.24,7,45.022857
-10.46,9,45.053448
-9.85,13,45.093919
-10.94,13,45.153464
-9.46,9,45.207102
-9.8,12,45.245154
-10.9,11,45.28117
-10.9,11,45.316742
-10.49,9,45.345744
-10.56,9,45.37526
-10.58,10,45.409258
-11.9,12,45.480776
-9.85,13,45.523775
-9.47,10,45.556795
-10.87,12,45.627305
-10.93,12,45.666826
-11.9,13,45.708837
-9.22,7,45.73284
-10.29,7,45.756843
-10.9,11,45.792352
-10.9,11,45.828351
-9.93,7,45.851351
-9.8,12,49.47851
-9.82,13,49.553515
-10.72,11,49.589026
-9.81,13,49.630027
-10.92,12,49.668547
-10.7,5,49.686554
-12.01,14,49.731555
-10.82,12,49.771068
-11.04,5,49.78907
-10.92,12,49.827069
-10.54,10,49.861074
-11.79,12,49.900586
-9.57,11,49.936585
-9.84,13,49.978103
-11.94,13,50.019103
-10.95,13,50.060108
-11.01,13,50.107624
-10.9,11,50.143625
-10.34,11,50.208818
-11.56,10,50.240828
-10.69,11,50.298904
-9.82,13,50.364442
-10.35,7,50.388552
-10.94,12,50.426113
-10.94,13,50.468622
-12.05,15,50.517635
-10.94,12,50.555635
-10.94,12,50.594147
-9.36,9,50.625148
-10.95,4,50.639146
-10.9,11,50.67366
-10.92,12,50.711661
-10.91,12,50.754669
-11.5,9,50.784954
-10.61,10,50.819956
-10.96,13,50.861959
-10.6,13,50.93547
-9.27,8,50.986988
-10.9,11,51.038986
-10.12,6,51.059994
-10.9,12,51.097505
-10.9,11,51.132506
-10.3,7,51.15651
-10.9,11,51.191099
-11.92,13,51.233684
-11.14,6,51.254233
-9.58,11,51.290548
-9.31,8,51.317548
-9.7,4,51.331532
-10.94,12,51.373161
-10.91,13,51.41516
-9.71,12,51.45416
-11.96,13,51.496298
-9.82,13,51.538297
-11.9,12,51.576826
-11.91,13,51.619812
-10.6,13,51.661819
-10.9,11,51.696326
-10.05,8,51.72434
-10.92,12,51.762337
-10.96,13,51.804845
-11.01,13,51.847842
-10.93,13,51.88936
-9.16,7,51.912359
-10.97,12,51.951359
-11.67,11,51.986876
-9.46,10,52.018875
-11.68,11,52.054879
-10.13,9,52.084389
-10.31,7,52.107389
-11.27,7,52.131936
-11.98,14,52.177205
-10.91,12,52.214768
-9.8,13,52.275667
-9.93,14,52.321483
-9.94,7,52.345028
-10.89,12,52.384121
-10.9,11,52.419667
-11.05,13,52.460672
-10.93,12,52.502185
-10.4,8,52.528182
-10.62,10,52.560189
-11.02,13,52.602699
-11.9,12,52.664703
-9.82,13,52.707218
-9.8,12,52.745218
-10.97,13,52.787744
-10.91,12,52.858737
-11.66,11,52.894247
-11.85,12,52.936248
-10.96,12,52.97677
-10.91,13,53.021771
-10.42,8,53.051771
-10.66,10,53.085285
-10.9,11,53.122286
-10.88,13,53.188802
-10.95,13,53.229801
-10.9,11,53.265526
-10.9,11,53.300036
-11.49,9,53.329828
-10.5,9,53.360912
-10.5,9,53.392557
-11.98,13,53.435555
-11.04,5,53.45856
-10.92,14,53.506069
-10.6,13,53.54807
-10.94,12,53.587588
-11.46,9,53.617588
-10.34,9,53.647587
-11.97,14,53.6931
-10.96,12,53.732104
-9.83,13,53.774616
-10.51,9,53.804615
-9.33,9,53.834614
-11.59,10,53.867621
-11.94,13,53.910128
-10.93,12,53.948131
-10.2,6,53.968132
-11.05,14,54.013646
-11.92,13,54.055653
-10.94,12,54.094167
-11.7,11,54.130166
-10.92,12,54.168173
-10.95,13,54.210682
-10.96,13,54.25326
-10.88,13,54.294628
-11.37,8,54.343024
-10.69,11,54.378963
-11.92,13,54.422749
-10.99,13,54.471264
-10.96,12,58.119272
-10.9,11,58.154272
-11.59,10,58.18679
-10.9,11,58.244788
-9.8,12,58.283308
-10.9,11,58.318307
-11.04,5,58.335871
-11.05,5,58.35287
-11.81,12,58.39171
-10.98,13,58.456024
-10.9,11,58.515656
-11.39,8,58.56366
-10.6,13,58.624414
-9.92,7,58.656425
-10.89,12,58.711945
-10.95,12,58.748942
-9.8,12,58.787463
-9.43,9,58.817457
-10.91,12,58.885977
-10.92,12,58.928972
-11.27,7,58.951979
-10.93,12,58.990489
-10.59,9,59.018487
-11.07,13,59.059492
-10.9,11,59.094004
-10.9,11,59.129003
-9.91,13,59.170007
-9.84,6,59.190531
-10.94,12,59.252531
-10.46,8,59.301045
-10.79,11,59.336044
-10.96,12,59.375213
-10.96,12,59.413236
-10.95,13,59.4553
-10.9,11,59.50875
-11.94,13,59.572808
-10.94,13,59.614814
-11.37,8,59.640816
-9.77,12,59.679331
-10.93,12,59.718331
-9.72,12,59.779845
-10.99,13,59.857848
-9.17,7,59.882365
-11.36,8,59.909366
-10.97,13,59.968372
-11.05,5,59.985891
-11.92,13,60.02888
-10.9,11,60.066887
-9.0,4,60.0814
-11.02,13,60.123408
-9.87,13,60.198912
-10.86,12,60.237912
-10.99,13,60.28043
-10.84,12,60.319431
-10.98,13,60.363437
-11.0,13,60.407146
-10.99,13,60.483567
-11.01,13,60.527119
-9.82,13,60.570719
-10.92,12,60.610796
-10.95,4,60.625796
-11.03,13,60.668801
-11.03,13,60.711312
-10.29,7,60.755311
-10.9,11,60.792851
-9.59,11,60.860855
-11.95,13,60.927366
-9.26,8,60.955367
-11.46,9,60.98588
-11.95,13,61.02788
-11.9,12,61.066887
-10.67,10,61.100397
-9.79,13,61.144397
-10.93,12,61.183912
-10.93,12,61.222912
-10.96,12,61.276432
-10.12,9,61.329431
-11.93,13,61.37144
-9.82,13,61.414519
-11.9,12,61.454683
-10.66,10,61.487745
-10.64,10,61.521631
-10.95,4,61.536639
-10.9,11,61.572216
-10.75,11,61.638729
-10.93,13,61.681244
-11.01,13,61.724244
-11.95,13,61.770249
-10.95,13,61.814774
-10.98,13,61.857777
-10.64,10,61.891293
-10.84,12,61.930293
-11.24,7,61.954293
-10.97,13,61.997811
-10.44,10,62.030813
-11.79,12,62.070817
-9.16,7,62.095335
-9.51,10,62.128329
-10.39,8,62.154337
-9.38,9,62.184842
-10.92,12,62.223841
-10.95,13,62.265845
-10.93,13,62.307357
-10.68,10,62.340359
-10.9,11,62.375871
-9.52,10,62.40787
-9.83,6,62.429624
-10.52,9,62.458769
-10.98,13,62.502629
-10.9,11,62.539805
-11.65,11,62.575157
-10.66,10,62.607154
-10.9,11,62.643772
-10.93,12,62.683286
-10.92,13,62.728286
-9.82,6,62.750288
-10.9,11,62.809453
-10.94,12,62.850453
-9.8,12,62.89197
-10.98,13,62.932968
-11.47,9,62.962974
-11.14,6,62.984481
-10.91,12,63.042483
-9.72,12,63.084015
-10.05,8,63.118015
-10.39,8,63.148012
-10.72,11,63.218529
-10.72,11,63.28066
-10.9,11,63.318661
-9.68,12,63.356661
-10.9,11,63.392176
-10.94,13,63.435744
-9.44,10,63.471223
-10.72,11,67.18616
-9.05,6,67.206161
-9.36,9,67.236161
-10.48,12,67.274166
-10.95,12,67.342343
-10.55,9,67.372346
-10.9,11,67.407854
-10.53,9,67.436855
-10.95,13,67.47937
-10.6,10,67.514796
-10.74,11,67.550171
-11.07,13,67.591474
-10.9,11,67.62704
-10.82,11,67.683114
-9.02,5,67.702113
-10.95,13,67.746115
-10.94,13,67.792635
-10.43,8,67.823631
-10.91,12,67.865638
-11.04,5,67.884178
-10.94,12,67.924179
-10.93,12,67.965183
-10.94,12,68.006693
-10.9,11,68.044692
-10.77,12,68.086155
-10.93,12,68.128155
-10.36,11,68.166159
-11.92,13,68.234675
-10.97,13,68.313189
-10.93,12,68.351189
-10.91,12,68.389709
-11.37,8,68.416709
-9.8,12,68.48065
-10.99,13,68.524221
-10.9,11,68.570538
-9.69,12,68.609042
-10.95,13,68.652157
-10.97,13,68.696237
-11.9,12,68.735237
-9.37,9,68.766242
-9.48,10,68.828755
-10.93,12,68.86776
-10.93,12,68.907277
-11.37,8,68.933273
-11.92,13,68.975277
-10.94,12,69.013792
-10.94,12,69.052791
-11.9,12,69.09131
-10.96,13,69.133307
-10.91,13,69.175313
-10.85,12,69.214828
-11.27,7,69.257829
-10.9,11,69.292345
-9.61,11,69.328345
-10.96,12,69.36635
-11.06,13,69.407859
-9.84,13,69.449859
-9.17,7,69.473862
-10.98,13,69.516375
-9.86,13,69.569592
-9.82,13,69.613127
-11.17,6,69.634134
-10.3,7,69.657691
-11.15,6,69.696617
-10.94,13,69.770411
-11.01,13,69.837923
-9.65,11,69.902594
-11.27,7,69.945595
-10.26,10,69.979889
-10.9,11,70.014888
-10.9,11,70.049888
-10.84,12,70.088408
-11.01,13,70.129404
-10.93,13,70.17041
-10.9,11,70.206925
-10.92,12,70.244927
-10.9,11,70.28044
-10.61,10,70.31244
-10.95,13,70.354439
-9.25,8,70.379964
-10.9,11,70.415963
-10.69,10,70.447964
-11.03,13,70.48848
-10.9,11,70.52548
-11.13,6,70.56391
-10.9,13,70.630682
-10.9,11,70.689163
-10.94,12,70.760704
-10.95,4,70.785218
-11.93,13,70.862222
-9.87,13,70.927738
-10.9,11,70.966744
-11.03,13,71.048258
-10.93,12,71.111769
-10.91,12,71.174774
-9.84,6,71.195285
-11.68,11,71.232297
-11.34,8,71.263286
-10.9,11,71.303815
-9.72,12,71.346814
-9.05,6,71.385327
-11.77,12,71.426327
-10.93,12,71.468333
-9.8,12,71.509846
-10.92,12,71.551134
-10.01,6,71.593229
-9.84,13,71.639214
-10.9,11,71.677536
-10.86,12,71.71805
-10.91,12,71.758605
-9.63,11,71.795122
-9.07,6,71.818122
-9.15,7,71.842122
-9.8,12,71.881636
-9.86,13,71.924635
-9.74,12,71.963652
-11.37,8,71.990171
-10.95,4,72.005183
-10.59,10,72.038175
-10.94,12,72.077186
-10.95,13,72.118699
-11.24,7,72.142699
-11.02,13,72.184228
-9.83,13,72.22522
-10.89,12,72.295733
-11.07,13,72.371735
-9.84,13,72.412248
-10.9,11,72.447254
-10.91,12,72.487766
-9.46,10,72.520766
-9.29,8,72.547768
-10.94,12,72.585837
-9.21,8,72.612314
-10.94,13,76.143207
-10.95,4,76.169213
-10.8,11,76.204721
-10.98,13,76.269637
-11.04,5,76.287151
-10.92,12,76.326146
-9.75,12,76.395662
-11.77,12,76.433662
-10.93,12,76.499176
-10.73,11,76.535249
-10.83,12,76.603322
-10.91,12,76.641031
-11.29,7,76.683554
-10.9,11,76.741494
-11.04,13,76.782672
-10.91,12,76.854667
-10.94,12,76.892181
-10.95,13,76.933181
-10.8,11,76.969185
-11.03,13,77.009697
-10.97,13,77.051697
-10.96,13,77.126212
-10.65,10,77.157215
-9.34,9,77.211735
-10.89,12,77.248734
-10.71,11,77.28525
-11.9,13,77.326252
-10.94,12,77.364255
-11.23,7,77.387769
-10.95,4,77.402768
-11.9,12,77.44077
-10.38,8,77.467775
-10.99,13,77.510284
-11.98,13,77.553285
-9.58,11,77.588799
-11.24,7,77.613799
-10.89,12,77.651972
-10.98,13,77.69449
-10.38,8,77.720929
-10.97,12,77.759399
-9.83,13,77.801163
-10.9,11,77.837731
-10.99,13,77.878738
-9.8,12,77.918251
-11.92,13,77.981287
-10.04,5,78.000294
-10.14,6,78.022304
-11.96,13,78.071299
-10.87,12,78.113813
