#{"t_start": 1701189706.7659142, "env_id": null}
r,l,t
-9.8,12,29.916518
-7.6,15,29.949706
1.0,13,29.99729
-7.8,16,30.055802
-8.5,13,30.103806
-8.7,16,30.162314
0.6,12,30.205319
-6.0,12,30.230829
-6.8,13,30.25983
1.4,12,30.286295
-7.0,14,30.31641
-8.8,17,30.352407
-9.8,14,30.404414
-8.7,13,30.451923
-6.8,11,30.49293
-7.5,15,30.548441
-7.6,11,30.589441
-4.8,17,30.650964
-8.8,13,30.686532
-8.0,17,30.733121
-6.6,14,30.784251
-7.8,11,30.824322
-8.0,14,30.874321
-9.8,14,30.924837
-7.8,19,30.98738
-7.0,13,31.034153
-7.0,13,31.082153
-7.8,17,31.138669
-8.0,16,31.196674
-8.5,16,31.253184
-9.5,16,31.311246
-6.6,16,31.366246
-8.0,16,31.424762
-7.8,13,31.470761
-8.0,16,31.529275
1.2,11,31.57029
-6.8,17,31.627317
-7.0,16,31.684316
2.4,15,31.737653
-8.0,15,31.790211
-9.8,17,31.848725
-8.7,14,31.898727
1.6,11,31.924272
-7.8,12,31.969134
-8.6,11,32.010063
-8.7,15,32.065065
-7.8,16,32.122578
-9.8,13,32.169578
-9.5,9,32.203583
-7.8,18,32.263094
-8.6,12,32.306099
-8.0,19,32.375609
1.6,13,32.414125
2.2,10,32.451126
-7.8,13,32.49813
-9.5,13,32.545642
-9.8,12,32.589639
-7.0,13,32.61816
-8.6,12,32.662154
3.2,17,32.723233
-9.8,13,32.770775
-9.8,6,32.793993
-6.0,18,32.85904
-7.8,17,32.9208
-8.8,15,32.975801
-9.8,13,33.023878
-7.6,13,33.070278
-8.0,12,33.114793
-8.6,15,33.168792
1.2,12,33.212308
-8.0,14,33.263308
-9.8,17,33.325822
-8.8,14,33.376824
-9.8,18,33.435845
1.4,13,33.482846
2.2,14,33.533902
-8.6,16,33.5929
3.0,13,33.639331
-7.7,19,33.707338
-9.8,10,33.744851
-8.7,14,33.796873
-8.5,20,33.855274
-7.0,14,33.895855
-8.6,12,33.932364
-9.0,10,33.961363
3.2,15,34.005139
-7.6,13,34.043702
-7.7,13,34.081696
-8.0,15,34.125211
-7.8,19,34.180212
-7.8,11,34.212726
-7.0,13,34.240728
-6.8,15,34.272727
-8.7,8,34.290728
-7.8,12,34.316261
-8.6,16,34.351242
-8.0,14,34.381243
-8.0,19,34.420758
-8.7,11,34.444758
-8.0,12,34.470759
2.2,12,34.515273
-8.5,13,34.562283
-9.5,11,34.604278
-6.0,12,34.647349
2.0,13,34.695343
-8.8,12,34.721644
-9.6,12,34.747646
-7.0,13,34.775645
-6.8,11,34.816716
2.0,12,34.866524
-7.0,16,34.921566
-8.7,14,34.972566
1.2,13,35.020622
4.0,12,35.063618
-8.8,13,35.11143
-8.6,13,35.15842
-9.5,16,35.216932
-7.7,15,35.270932
-8.0,12,35.314964
-6.0,15,35.367965
-6.8,16,35.401969
-9.5,14,35.432496
-8.8,19,35.47349
-8.8,16,35.507485
-7.0,19,35.548996
-8.5,14,35.675514
-8.0,10,35.713028
-8.8,14,35.764026
-7.5,16,35.821961
-6.8,16,35.880363
-7.7,13,35.933467
-9.0,11,35.974021
-7.0,10,36.011534
3.0,15,36.068268
-7.0,13,36.116873
-9.5,9,36.151872
-7.0,13,36.180878
-9.4,12,36.225389
-8.0,15,36.281392
-7.0,12,36.325905
-9.8,17,36.362905
-7.8,16,36.396913
-5.8,21,36.471985
-6.0,15,36.5245
-8.7,13,36.571501
-8.0,14,36.624016
-7.6,13,36.671015
-9.8,14,36.722532
-8.8,17,36.783531
-7.8,11,36.8246
-8.0,13,36.871827
-8.3,12,36.915915
1.4,14,36.966487
-9.8,17,37.027003
-7.8,17,37.088564
-9.8,16,37.146363
-8.0,12,37.190364
-9.8,15,37.244878
-7.0,15,37.298883
-8.7,12,37.325392
-7.0,18,37.389392
-9.6,13,37.436908
-9.8,12,37.480908
-9.8,14,37.531425
-7.0,15,37.585425
-6.0,15,37.639516
-8.0,16,37.673516
-9.8,11,37.715032
-9.6,13,37.762031
-8.7,15,37.816545
-9.8,17,37.877799
-9.5,12,37.922855
-7.8,14,37.954031
-8.8,14,38.004603
-8.0,10,38.041116
-9.8,18,38.105904
-7.7,16,38.143096
-8.8,14,38.193089
-8.8,16,38.251601
-5.8,14,38.302617
-6.0,16,38.359119
-7.0,15,38.412632
-8.0,14,38.463634
-8.8,14,38.515811
-7.7,15,38.570812
-9.8,11,38.612324
-9.6,15,38.666342
-8.7,20,38.738846
-6.0,14,38.788846
-8.7,17,38.851362
1.0,11,38.891467
-6.8,13,38.939131
-8.7,14,38.970137
-8.8,13,39.017043
-8.7,16,39.076042
-7.7,16,39.133098
-9.6,16,39.192338
-7.5,13,39.238851
-8.0,13,39.285851
-8.8,14,39.337367
-7.7,13,39.384368
-8.8,17,39.44688
-7.8,14,39.497888
-8.8,16,39.555926
-7.0,17,39.591924
-7.6,10,39.628983
-8.5,15,39.682982
-8.6,14,39.733104
-8.7,17,39.795103
-6.0,15,39.828582
-9.5,14,39.85959
-8.5,11,39.883121
-7.6,14,39.91414
-8.8,10,39.937145
-9.8,7,39.953953
-7.7,17,39.990209
-7.6,13,40.039272
-7.7,14,40.090272
-7.8,14,40.141564
-8.8,15,40.194945
-9.5,13,40.242131
-3.7,21,40.316646
-6.0,17,40.374647
-8.0,16,40.432167
-9.8,4,40.448161
-8.8,15,40.503165
-7.0,14,40.552675
-8.7,16,40.609679
-8.0,11,40.650191
-8.0,16,40.707196
3.0,12,40.751705
-8.4,13,40.79971
3.0,13,40.846971
-6.0,10,40.883524
-6.8,13,40.930607
-7.7,16,40.986623
3.2,11,41.026137
-9.8,15,41.080706
-9.8,9,41.11522
-8.0,15,41.168787
-6.7,16,41.202791
-8.0,17,41.238663
-7.8,18,41.276664
-8.0,13,41.30567
2.2,13,41.333179
-9.5,18,41.372178
-7.0,15,41.404183
-7.0,12,41.430199
-9.8,14,41.4612
-8.0,11,41.486199
-8.7,11,41.526716
-6.8,15,41.579716
-8.0,14,41.631231
-8.8,14,41.68323
-9.8,16,41.738745
-8.5,10,41.775746
-7.0,17,41.811751
5.0,14,41.841263
-9.8,13,41.870263
-8.8,16,41.904344
-9.8,19,41.944967
-8.8,24,42.018412
-6.8,13,42.046962
-8.3,15,42.078966
-7.8,14,42.130478
-6.8,12,42.174479
-8.6,16,42.230298
-6.0,14,42.281299
-8.8,12,42.324815
-7.6,16,42.383815
-9.8,19,42.526846
1.2,13,42.554857
-7.8,13,42.582846
-7.8,12,42.608861
-8.8,21,42.667879
-6.8,13,42.69588
1.4,12,42.741992
-9.8,14,42.794991
-7.6,14,42.846508
-7.6,13,42.882508
-7.5,16,42.92551
-6.6,12,42.96749
-6.6,16,43.019627
1.6,11,43.044629
-9.8,14,43.078157
-7.6,10,43.107167
2.2,13,43.137677
-8.5,14,43.171677
-8.7,15,43.204803
-8.0,15,43.236315
-8.6,17,43.272943
-9.8,18,43.34002
-7.0,18,43.37902
-7.7,14,43.409024
-8.0,21,43.460535
-9.8,16,43.497535
-7.8,15,43.529729
3.2,12,43.55573
-7.6,17,43.59273
-7.8,14,43.622913
-9.8,13,43.650914
-7.8,13,43.678914
-8.4,13,43.727979
-6.8,20,43.792979
-9.8,14,43.823496
-7.6,15,43.856496
1.4,14,43.886498
-8.0,16,43.92106
2.0,14,43.974143
-6.6,12,44.02036
-8.8,16,44.077436
-5.0,20,44.149965
-6.8,14,44.202968
-7.6,13,44.252305
-9.6,15,44.306309
-7.8,15,44.363831
-9.8,18,44.429968
-8.8,13,44.478971
