#{"t_start": 1701302866.6907127, "env_id": null}
r,l,t
2.5,4,31.271662
-5.3,12,31.297222
1.5,5,31.309222
-1.5,8,31.327225
-3.8,11,32.694135
2.5,4,32.703135
2.1,6,32.716155
0.5,6,32.729167
-0.5,7,32.743678
3.4,6,32.756679
1.1,7,32.782679
0.7,6,32.795678
2.5,4,32.804678
2.5,4,32.813678
-0.3,7,32.83868
-1.3,8,32.856193
2.9,5,32.867193
2.5,4,32.876194
1.5,5,32.887194
2.5,4,32.896194
2.5,4,32.905193
1.5,5,32.916195
2.5,4,32.925194
1.7,5,32.937201
-1.3,8,32.965713
0.5,6,32.978727
-0.5,7,32.993713
2.5,4,33.002714
-0.5,7,33.017713
2.5,4,33.027719
1.1,7,33.042229
1.6,9,33.06023
0.1,8,33.077228
0.7,6,33.09023
-0.5,7,33.105229
-2.4,12,33.130035
2.5,4,33.139034
1.5,5,33.150105
1.5,5,33.162096
0.5,6,33.175094
0.1,8,33.191094
1.5,5,33.202094
0.7,6,33.215094
0.7,6,33.237099
1.5,5,33.256607
1.5,5,33.268606
2.5,4,33.284326
-2.3,9,33.316879
2.5,4,33.325884
0.5,6,33.339883
2.5,4,33.348935
-1.9,10,33.368941
-0.3,7,33.383936
1.5,5,33.395935
0.0,9,33.414286
0.5,6,33.427291
1.7,5,33.438411
0.5,6,33.45194
0.5,6,33.464931
1.5,5,33.475465
3.8,5,33.486465
0.7,6,33.509464
2.2,7,33.534469
-0.8,8,33.551982
1.5,5,33.579364
1.5,5,33.590358
-0.3,7,33.605357
1.7,5,33.617027
2.5,4,33.626024
-1.6,9,33.658057
2.5,4,33.668057
-0.3,7,33.682057
1.5,5,33.694057
1.7,5,33.705058
-6.3,13,33.731061
2.5,4,33.740062
2.5,4,33.748579
-1.3,8,33.765578
1.5,5,33.776578
1.5,5,33.78758
-0.3,7,33.802583
0.2,7,33.816579
0.7,6,33.834584
1.5,5,33.845092
-0.3,7,33.871092
-0.9,9,33.890092
-0.5,7,33.905091
-0.5,7,33.9191
-0.3,12,33.963608
3.0,6,33.986607
1.5,5,34.005607
-1.5,8,34.03561
2.5,4,34.051121
-1.3,8,34.069121
-1.7,10,34.106121
-3.3,10,34.143177
-0.8,8,34.160177
-4.3,11,34.183489
1.5,5,34.194488
2.5,4,34.211487
2.5,4,34.221051
2.1,6,34.235063
-3.7,12,34.259574
2.5,4,34.269574
-1.5,8,34.287122
-4.3,11,34.310124
2.5,4,34.326954
-0.3,7,34.342472
1.7,5,34.362473
2.5,4,34.372473
-1.3,8,34.402023
1.5,5,34.413577
1.5,5,34.425578
1.9,6,34.441687
-0.5,7,34.456704
1.5,5,34.476448
-1.5,8,34.506147
-0.5,7,34.53169
2.5,4,34.541194
2.0,7,34.557202
2.5,4,34.574201
-2.5,9,34.5932
2.5,4,34.603201
2.5,4,34.6132
0.5,6,34.636206
1.5,5,34.655346
0.2,7,34.681346
1.7,5,34.700346
-0.3,7,34.725346
-0.5,7,34.741354
2.5,4,34.75087
1.5,5,34.76287
0.7,6,34.77687
2.5,4,34.78687
1.5,5,34.798869
-0.8,8,34.815869
1.7,5,34.827874
1.5,5,34.839874
2.4,7,34.855388
1.7,5,34.867388
2.5,4,34.877388
-2.3,9,34.897388
2.2,5,34.909389
0.5,6,34.923387
0.5,6,34.937393
0.5,6,34.951903
2.5,4,34.962903
0.1,8,34.980909
1.5,5,35.000904
1.5,5,35.021904
0.5,6,35.035908
1.5,5,35.048418
0.1,8,35.079417
-1.3,8,35.097417
-1.3,8,35.115417
1.5,5,35.127422
-0.3,7,35.143935
2.5,4,35.153946
0.7,6,35.168796
-0.5,7,35.184797
2.8,6,35.19934
2.5,4,35.20934
1.5,5,35.22334
1.0,8,35.241855
-0.5,9,35.261862
